Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Eastern and Southern,AFE,1986,6.46430997609552,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Eastern and Southern,AFE,1985,6.51495731969789,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Eastern and Southern,AFE,1984,6.56569583279938,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Eastern and Southern,AFE,1983,6.60440812756985,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Eastern and Southern,AFE,1982,6.63848913659031,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Eastern and Southern,AFE,1981,6.67236184299929,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Eastern and Southern,AFE,1980,6.70462343655892,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Eastern and Southern,AFE,1979,6.73027624410496,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Eastern and Southern,AFE,1978,6.7504028151318,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Eastern and Southern,AFE,1977,6.76794302629266,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Eastern and Southern,AFE,1976,6.7859950559852,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Eastern and Southern,AFE,1975,6.8051717747318,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Eastern and Southern,AFE,1974,6.8204292608423,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Eastern and Southern,AFE,1973,6.83224264960977,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Eastern and Southern,AFE,1972,6.84109660113989,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Eastern and Southern,AFE,1971,6.84498829419545,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Eastern and Southern,AFE,1970,6.83830441642616,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Eastern and Southern,AFE,1969,6.83441842297357,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Eastern and Southern,AFE,1968,6.82855998159004,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Eastern and Southern,AFE,1967,6.81861204865555,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Eastern and Southern,AFE,1966,6.81057132105822,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Eastern and Southern,AFE,1965,6.80032228007056,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Eastern and Southern,AFE,1964,6.78842004142392,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Eastern and Southern,AFE,1963,6.77871194340642,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Eastern and Southern,AFE,1962,6.76293005566599,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Eastern and Southern,AFE,1961,6.74275210020318,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Eastern and Southern,AFE,1960,6.72412501084242,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,2021,4.97866247082482,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,2020,5.0493293781153,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,2019,5.11893203861357,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,2018,5.18631941888717,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,2017,5.2553453710546,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,2016,5.32870923111315,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,2015,5.3850593079131,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,2014,5.43749340764512,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,2013,5.50634979270689,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,2012,5.58089235673762,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,2011,5.64567225639532,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,2010,5.69955221694528,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,2009,5.74904254565965,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,2008,5.78852483689185,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,2007,5.81581414782124,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,2006,5.84537989023371,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,2005,5.86460386605421,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,2004,5.88756694809857,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,2003,5.93199862257476,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,2002,5.96726651984921,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,2001,5.99595474542322,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,2000,6.02317868901341,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1999,6.0295789163828,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1998,6.04393084242858,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1997,6.10163307484637,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1996,6.17029853647449,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1995,6.23569827377089,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1994,6.2962365099493,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1993,6.36246400962158,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1992,6.41830449099673,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1991,6.47055575941392,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1990,6.51827830946128,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1989,6.56514854262503,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1988,6.5990154677531,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1987,6.63646319705565,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1986,6.68332112043106,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1985,6.72614169333082,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1984,6.78068049803288,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1983,6.8305160766432,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1982,6.8552665489714,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1981,6.88029425786939,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1980,6.89699501373667,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1979,6.91411780468757,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1978,6.92303406677089,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1977,6.89618200398892,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1976,6.86131385445272,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1975,6.84053585126984,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1974,6.80339436349315,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1973,6.76428834664628,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1972,6.73353604795958,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1971,6.69772401185097,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1970,6.65712171393698,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1969,6.63518140123135,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1968,6.61277465250295,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1967,6.58980593159602,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1966,6.56496650071741,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1965,6.54110170802647,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1964,6.52535544956749,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1963,6.50608758636194,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1962,6.49182578734167,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1961,6.47151755185967,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,1960,6.45844789624312,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,2021,3.14256520482342,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,2020,3.18600277860242,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,2019,3.22451894503336,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,2018,3.27999375314507,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,2017,3.32588193255243,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,2016,3.37135781311785,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,2015,3.47103809720741,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,2014,3.50017425229,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,2013,3.51351815655565,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,2012,3.51281506037167,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,2011,3.50802135684357,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,2010,3.504198074315,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,2009,3.49278003475509,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,2008,3.50853304858298,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,2007,3.53214915125169,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,2006,3.54750921835084,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,2005,3.57659570584393,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,2004,3.61668398632666,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,2003,3.67069029819865,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,2002,3.72736884420368,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,2001,3.8077833507959,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,2000,3.8785887451054,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1999,3.96270254733048,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1998,4.06164000678262,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1997,4.16516329945645,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1996,4.28437187947959,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1995,4.44282349922904,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1994,4.60798720731153,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1993,4.74760012330277,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1992,4.8938891936685,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1991,5.00625995694782,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1990,5.1477257387344,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1989,5.28903197660938,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1988,5.45047678428844,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1987,5.60027898127383,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1986,5.73749622466062,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1985,5.87241775522077,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1984,5.98697255823579,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1983,6.09644295271396,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1982,6.18503522499352,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1981,6.26687997079499,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1980,6.35399330182899,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1979,6.43736519959945,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1978,6.47403101253198,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1977,6.52351911002482,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1976,6.58082617004606,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1975,6.63630873427228,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1974,6.68088981262065,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1973,6.72709055602548,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1972,6.78657777127643,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1971,6.83679756698089,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1970,6.88564618845571,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1969,6.92373574718169,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1968,6.95769729053866,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1967,6.98753732568779,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1966,7.01296060167437,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1965,7.03356036639548,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1964,7.06196884830837,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1963,7.0715416831474,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1962,7.07611222466933,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1961,6.98211502973027,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,1960,6.93433241736243,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,2021,1.66452203748273,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,2020,1.67128940694517,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,2019,1.68786975424512,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,2018,1.71183622954424,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,2017,1.74020086840785,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,2016,1.78423685776113,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,2015,1.82700194229917,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,2014,1.83345236396247,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,2013,1.85957253303837,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,2012,1.90578584093676,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,2011,1.92613733448398,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,2010,1.94204839584138,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,2009,2.01130887839884,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,2008,2.03656827014513,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,2007,2.04275580243239,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,2006,2.11103508847076,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,2005,2.13318578611711,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,2004,2.16514585973283,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,2003,2.18431454799216,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,2002,2.21532659980828,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,2001,2.25233705902945,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,2000,2.28525088461789,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1999,2.39234832710244,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1998,2.471147741446,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1997,2.52162317446921,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1996,2.54527380099963,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1995,2.65516216699215,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1994,2.70568141001846,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1993,2.75846362185144,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1992,2.79555800068756,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1991,2.79359186887839,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1990,2.8045363150874,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1989,2.89975475463982,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1988,2.96718093965581,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1987,3.04836340061237,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1986,3.13347250105308,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1985,3.20920952978619,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1984,3.26821956204914,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1983,3.35954852048731,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1982,3.4334940650738,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1981,3.49680991097293,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1980,3.56332165348296,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1979,3.64471949785282,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1978,3.72619702328809,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1977,3.82648871172709,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1976,3.92367043019054,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1975,4.09522849819541,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1974,4.28502765975803,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1973,4.48660949684046,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1972,4.6771374900512,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1971,4.81853607733779,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1970,4.93382607980096,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1969,5.04890526749349,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1968,5.18549804158106,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1967,5.28593930014307,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1966,5.39270764089393,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1965,5.46097649138787,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1964,5.53580755019852,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1963,5.55183057278709,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1962,5.55936629792934,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1961,5.62788910275302,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,1960,5.72791322970784,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Central Europe and the Baltics,CEB,2021,1.55098526523508,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Central Europe and the Baltics,CEB,2020,1.55524546735669,
